,country,donated,received
0,Iceland,172501.0,0.0
1,United Arab Emirates,2725440.0,9700762.0
2,Korea,1299047720.0,1783245418.0
3,Canada,1487764246.0,587487499.0
4,Luxembourg,111554022.0,139320026.0
5,France,8061433170.0,8227.0
6,Cyprus,5599.0,83472855.0
7,Qatar,104519053.0,2775897.0
8,Sweden,891511354.0,0.0
9,Monaco,941387.0,0.0
10,Austria,315888980.0,421253565.0
11,Brazil,1134440.0,12745698418.0
12,Belgium,635951465.0,0.0
13,United Kingdom,9017261771.0,0.0
14,Finland,373275250.0,73670.0
15,Colombia,190795.0,13329016825.0
16,Switzerland,817518945.0,141967.0
17,Portugal,63286377.0,113058.0
18,Germany,13409322946.0,60164.0
19,Thailand,25461.0,7550641923.0
20,Norway,2334163797.0,0.0
21,Italy,536688778.0,35589.0
22,Chile,564349.0,1783034925.0
23,New Zealand,48825100.0,0.0
24,Australia,560042149.0,696882923.0
25,Netherlands,1901622647.0,0.0
26,Slovak Republic,395574.0,164061679.0
27,Liechtenstein,2126695.0,128713.0
28,Poland,403184.0,2071250139.0
29,Estonia,278942.0,67212628.0
30,Czech Republic,3053896.0,212746055.0
31,Hungary,324552.0,239904224.0
32,Taiwan,7945465.0,216955130.0
33,Denmark,505676997.0,0.0
34,Greece,32667185.0,0.0
35,Spain,1378335678.0,0.0
36,United States,23910230522.0,104524992.0
37,Ireland,287168140.0,447303722.0
38,Slovenia,150028.0,40568095.0
39,Kuwait,1219994.0,10000603.0
40,Japan,37063453993.0,124673.0
41,India,0.0,48646086221.0
42,Saudi Arabia,0.0,70226969.0
43,Latvia,0.0,77686827.0
44,Lithuania,0.0,119521227.0
45,South Africa,0.0,12231480271.0
46,Romania,0.0,1316122708.0
