donor	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Australia	1250969.2702702703	13475438.5	38845890.5	27718070.0	7264815.2	5935462.25	2440899.5	2587087.777777778	3685166.2	2091675.0	671685.3636363636	528326.5714285715	692957.3	4204943.666666667	2615703.285714286	351670.0	18141135.888888888	3737282.72	43192236.5	6375516.555555556	1502315.16	2952665.619047619	1586613.1636363636	1117611.4166666667	3096414.71875	790087.5921052631	914330.90625	597720.2010309278	764829.0461538462	318557.61971830984	566298.7305389221	131731.06870229007	239071.81818181818	216465.712	91212.83552631579	144265.87692307692	186106.14736842105	356587.1630434783	185471.15625	204591.9705882353	269060.224
Austria	0.0	6031582.25	0.0	12981849.0	521745.0	9019438.0	826846.3333333334	680128.25	13355631.75	272169.0	17235616.0	0.0	43674106.0	15801537.0	77374.0	400964.0	2614163.5714285714	1729333.5	1984671.5454545454	7690278.0	8599286.0	248038.0	2349112.0	345997.9120879121	895746.2857142857	285798.95081967214	203940.1911764706	246295.1597633136	367220.73863636365	424741.84768211923	399591.3379310345	271930.8823529412	148921.79166666666	90946.05681818182	107948.80373831776	86863.675	86503.03296703297	104107.89873417722	104298.47368421052	128346.31506849315	115629.66129032258
Belgium	19625668.0	21794299.0	19431653.5	18063309.5	11951293.0	16094608.5	10267173.0	0.0	12383580.4	0.0	11560829.0	0.0	4191839.0	0.0	0.0	0.0	45982564.25	37411624.8	0.0	235344157.5	37783800.5	129796.33333333333	140242.66158536586	169855.4705882353	197779.14525139664	159978.91719745222	229362.47368421053	156242.9420289855	141595.90666666668	255002.3815261044	166785.40226628896	166860.6380952381	169422.02105263158	230151.84251968504	150167.78733031673	181710.20890410958	146606.56164383562	155231.27715355804	192084.2730923695	179738.391959799	426983.425
Brazil	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25444.5	21108.75	0.0	45734.05	0.0	0.0	0.0
Canada	29195228.466666665	6227468.909090909	7155975.461538462	6120385.368421053	2164321.0	4786489.095238095	6172400.692307692	23210667.666666668	28787932.94736842	1085643.7901234569	2643159.7321428573	6011623.165217391	2093192.0714285714	3351329.512820513	2956717.375	4150923.75	1597689.2666666666	3851289.4736842103	5652289.142857143	3037657.0	2391168.537037037	751675.5855855856	869466.561728395	1423665.5088757398	807968.8943661972	2554624.463576159	2117575.370731707	3024683.2627118644	3324952.314285714	1692837.8741258741	764040.5297029703	1247752.4420289856	546042.344262295	478639.64285714284	485943.7364341085	512601.9527027027	168446.79772727273	261982.6220472441	197611.7857142857	237289.092	269872.9113300493
Chile	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23573.4	32051.0	6320.5	16655.666666666668	11732.272727272728	8119.0	3426.6666666666665	4529.333333333333	17921.8	0.0	0.0	0.0
Colombia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5164.4	1699.5	0.0	106531.0	0.0	0.0	0.0
Cyprus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5599.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Czech Republic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1181234.75	575800.0	0.0	0.0	0.0	132735.25	156771.0	247942.0	0.0	119901.0	918070.0	0.0	230219.0	397563.0	0.0	82049.5	23605.428571428572	13683.555555555555
Denmark	0.0	28419643.0	10392556.0	2884937.7	14030199.25	1043018.0	3594390.3	16097656.666666666	19611025.727272727	10174235.083333334	16873625.0	9361545.42857143	11849582.23076923	7381397.466666667	12486481.416666666	14947226.25	13343027.5	4186879.0	7325712.909090909	2146215.8947368423	1719560.5128205128	1475164.9333333333	1049304.1	7871414.838709678	2405513.727272727	869469.8333333334	3423147.3636363638	1702871.7727272727	1055670.1780821919	1790684.450980392	1500737.8157894737	728057.3428571429	3293309.8684210526	782320.5384615385	1523517.0714285714	1253141.076923077	227314.8	412281.75	647192.6538461539	788853.947368421	549085.5555555555
