recipient	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Australia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13625565.0	93456000.625	1299725.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193553716.0	39631155.5	107077721.0	68751890.6	0.0	0.0	66588490.0	0.0	0.0	0.0	696882923.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Austria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78816100.5	163916.0	58590672.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132570772.0	0.0	0.0	56293.0	0.0	0.0	0.0	0.0	85847901.5	249428720.0	0.0	1508.0	63767.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Belgium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147868500.0	36477733.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brazil	20805003.0	12264041.92	10072568.6	5223780.3125	16175447.838709677	7576567.55	7611911.909090909	14725606.444444444	29128859.542857144	18635323.83870968	4793701.444444444	11096433.586206896	23473240.530612245	10763215.864864865	19675485.34285714	9128809.942857143	7717963.163934426	9934730.181818182	19423904.916666668	3065589.284090909	9819897.864864865	24204333.80172414	14964133.476744186	8533180.067264574	8099972.011952192	5880850.200668897	3780276.853868195	2640475.8973747017	3193987.243407708	2798983.5815217393	1233216.3259493671	767938.8788598574	725875.6028084253	491956.7598752599	455087.513397642	503840.95975503064	535817.7710184553	741225.0405878236	741193.0	1976705.612459547	610285.0
Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88612482.66666667	362915112.71428573	56724935.666666664	0.0	153022875.0	0.0	0.0	0.0	0.0	1961661.0	0.0	0.0	0.0	83925439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	587432031.0	0.0	0.0	0.0	0.0	0.0	55468.0	0.0	0.0	0.0	0.0	0.0
Chile	11007009.75	28632136.333333332	45676055.25	11965484.384615384	321018.625	368201.5	3296783.933333333	2869731.0	1771585.857142857	989156.5769230769	1881647.5	8263498.763157895	14876460.476190476	3743120.9696969697	1527447.0	4313620.588235294	2718379.6428571427	3827664.5	5998539.0625	9027531.289473685	3857588.03125	801756.2276422764	2146614.4342105263	580666.052631579	1233226.0684931506	1432240.4923076923	1481795.0094786729	759768.0529100529	1422211.4852941176	552832.5302325581	266372.1642857143	279235.97402597405	183539.7125	173895.97096774195	333162.2028985507	704305.5601023018	229548.13087248322	173287.05483405484	125866.21696252466	146777.66129032258	661473.3588621444
Colombia	30552488.055555556	9692657.80952381	9111197.25	7530667.2105263155	2947821.9565217393	3629245.4	1398909.3636363635	21447358.0	9268424.157894736	38403748.40625	3571436.419354839	6196822.2727272725	20877287.15	7566146.634146341	2244211.9696969697	5318639.2272727275	5136371.923076923	13828443.461538462	10777480.933333334	7938481.580645162	12970848.06	3329856.175824176	5103187.678260869	10522815.29	457408.6116504854	1788435.24122807	3009993.4982935153	6481688.201365188	1496220.294117647	1937969.457076566	2311016.7255319147	1610445.2571912014	1136462.5817204302	1857425.6681974742	932742.4137529137	1164436.5929549902	1030627.6921837229	807761.1639226915	670685.9059982095	946361.9728209934	953511.9311926606
Cyprus	3204471.3333333335	2347468.4285714286	1954980.3333333333	10340752.333333334	5236296.0	46647.0	5279013.0	10888830.375	18372440.666666668	10449543.0	12851269.5	15856528.2	4357130.555555556	14179089.25	9696138.333333334	20278901.333333332	16306405.0	5884123.5	6027197.0	7315484.0	8409299.0	3293170.1428571427	102807.66666666667	1113120.125	640175.6	25622.227272727272	1020051.4210526316	324342.0625	972735.5555555555	1218452.4210526317	362350.92307692306	821093.5333333333	0.0	0.0	4469.0	0.0	0.0	0.0	0.0	0.0	0.0
Czech Republic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	549039.0	65377337.666666664	16383557.153846154	4598909.756756756	13178193.702702703	3791994.1875	716835.0408163265	2315205.093023256	1451878.4457831325	994248.4096385542	1945228.8533333333	373613.58857142855	468770.99224806204	288660.2025316456	340802.52892561984	46801.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Denmark	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34762965.0	0.0	0.0	0.0	62021691.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Estonia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123835.5	302328.2641509434	1533513.6	458080.6785714286	219270.39285714287	552553.0357142857	197805.02380952382	326624.87096774194	170405.0	363871.11363636365	205507.88888888888	97639.72289156627	237687.9552238806	242266.01265822785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Finland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70538468.0	26553629.0	0.0	83529726.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36835.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
France	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116609845.0	60461391.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8227.0	0.0	0.0	0.0	0.0	0.0
Germany	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31462.0	0.0	0.0	28702.0	0.0	0.0	0.0	0.0	0.0	0.0
Greece	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28842995.5	26046686.0	0.0	0.0	0.0	36819257.0	0.0	0.0	18863957.0	0.0	0.0	303412067.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hungary	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31296368.0	0.0	0.0	0.0	741125.0	31561667.7	44587704.71428572	10580269.294117646	14660561.545454545	14070588.607142856	5005593.136363637	6021989.706896552	982352.3888888889	287146.09278350516	332590.5569620253	370091.1125	407013.61142857146	431627.8224299065	370786.8108108108	489647.63636363635	0.0	0.0	21733.0	0.0	0.0	7066.0	0.0	0.0	0.0
Iceland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18060045.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
India	44808951.64705882	49303297.04	49191084.68852459	27575140.901234567	35523723.96666667	44353412.34848485	22855618.323943663	38054426.961538464	32802310.513274338	20904484.866666667	21751631.18032787	26347881.528735634	14941754.626016261	19380306.348387096	22294552.632978722	23019390.586826347	16891221.31693989	12340826.806060607	17432712.147619046	13523931.896202533	5104951.973076923	12339694.569277108	6898400.515306123	11011049.122015916	11150945.874418605	4918554.688492063	3425915.9432624113	1590050.6044568245	2589361.243816254	3158037.7554347827	3078605.0129411765	2690468.8712686566	2523082.0422960725	3529927.713798978	3972142.1128318585	3401591.312879299	2130361.1057471265	1964394.0836755647	1782550.3865300147	2556772.41563786	2768032.936131387
Ireland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30268231.0	58605044.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23119066.0	6065209.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174812788.0	171345603.0	175063408.0	272240314.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Italy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	298168272.0	3585196.0	165992.75	147595542.0	551936148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	277419753.0	524992994.0	0.0	0.0	0.0	0.0	0.0	92408.0	0.0	0.0	35589.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Japan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132384460.5	148973586.66666666	0.0	0.0	166832089.0	134938249.0	130559708.0	525123264.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	276896345.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124673.0	0.0	0.0	0.0
Korea	61986679.95454545	76612581.4736842	21373287.35714286	62596837.733333334	24615994.0	44514166.05555555	11285236.615384616	90543566.34482759	51755424.09375	9394915.173913043	26624965.04	26211194.20588235	28362686.1875	7972721.733333333	17242609.25	19051083.304347824	12288865.94736842	84274818.92307693	5692982.142857143	834391.5	1052427.6666666667	51255223.52380952	263173.6666666667	17599232.76190476	46338767.63636363	229652.12765957447	77116991.48	17792401.4	13728167.444444444	14942500.136363637	2509784.085106383	2165772.893939394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kuwait	325483.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78425.0	0.0	0.0	0.0	524410.0	0.0	0.0	10140429.333333334	0.0	1568.0	3414760.6666666665	3703419097.0	0.0	857599.5	30254026.3	87446.28571428571	88491.83333333333	52368.857142857145	86877.9	119968.25	237922.82352941178	607696.0	136657.66666666666	104874.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Latvia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	543060.0	132825.33333333334	2008365.0377358492	2024953.6923076923	473006.43333333335	433432.22222222225	472544.90566037735	562130.325	561935.256097561	192196.3818181818	263067.8333333333	190877.3613445378	250665.46808510637	173491.8791208791	190513.48780487804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Liechtenstein	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18264370.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10053.0	0.0	0.0	25973.5	0.0	0.0	66713.0	0.0	0.0	0.0	0.0	0.0
