	coalesced_purpose_name	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	total
0	Air transport	0.0	15256725.0	15829434.0	0.0	704628.0	0.0	73420234.0	114380550.25925925	207309064.3043478	51446689.1	109067005.0	162748046.33333334	71919129.75	115852191.66666667	202577591.0	48248579.0	24616385.5	63728420.25	103486559.33333333	161032637.45454547	106079248.95	247718074.5882353	29282809.588235293	92843779.375	145926586.9090909	126823353.8	294846777.35	147113016.95238096	164095485.86666667	136370943.48	178354.44444444444	64139881.125	68444978.16666667	278918.0	194349.0	473623.0	147110.0	67692.53333333334	293255.64285714284	133245.48484848486	401961.71428571426	39812480329.0
1	Import support (capital goods)	72971586.75	45438810.8	40376034.428571425	22073712.285714287	63389084.5	6193031.0	66031465.75	0.0	40653634.0	22699766.4	28873119.333333332	30075967.333333332	38977131.5	22363383.0	30082253.5	69155033.0	0.0	25324395.0	54392574.333333336	2494005920.3333335	16389536.666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74620674.0	0.0	0.0	0.0	0.0	6503.636363636364	0.0	1896.0	0.0	0.0	0.0	9964352244.0
2	Industrial development	22308493.666666668	19249388.625	14125685.7	20081063.333333332	18553876.842105262	8837731.5	17147260.111111112	16006583.921568627	17615956.222222224	23631084.568965517	11146887.966666667	23167366.78723404	21368285.431818184	17872510.42857143	8091775.70212766	22107582.63414634	12955328.6	22761745.46153846	29304853.863636363	38481966.448979594	38389424.86363637	19458142.43902439	10621197.609375	16269551.980392156	12360919.258064516	6287135.020408163	1459852.9642857143	2829243.68	13003814.763157895	605515.5	675781.9375	133295.29090909092	191532.48571428572	230332.925	110516.83333333333	182016.10344827586	152803.29166666666	1743475.7333333334	297808.1568627451	116782.18181818182	259863.84210526315	19738538669.0
3	Power generation/non-renewable sources	27825666.0	19940265.0	16583217.0	0.0	0.0	95676536.0	0.0	121913639.07692307	84308943.15384616	69999408.8	70571919.66666667	113490687.0	60980044.666666664	17014604.0	10289705.8	65133510.166666664	14247514.0	17670202.75	3767416.0	114975006.61538461	43125859.777777776	123565073.84615384	59277350.307692304	70742938.61538461	184566828.57142857	80160776.91666667	46726111.333333336	352390.8	22384573.157894738	28079750.272727273	28086944.111111112	122749.27272727272	92597660.5	308018.0	26432.8	177640.8	14372554.833333334	403195.25	40189.6	2759557.5	27870946.111111112	15128607440.0
4	Power generation/renewable sources	0.0	62430722.5	0.0	129250209.5	348718518.0	52995631.0	0.0	36937136.0	60159062.0	60554263.875	12536911.5	119951364.25	17901046.666666668	41192315.75	26938914.25	0.0	113792025.875	7572945.0	66239728.0	14999878.666666666	45390000.5	39125679.0	64796797.5	10028175.666666666	42746853.18181818	1824919.2857142857	11313258.42857143	244335.7619047619	8176474.2	1984895.9166666667	767933.1904761905	15276330.666666666	13060712.357142856	11177667.35	469080.0303030303	5658848.4375	5514664.7272727275	4822316.405405405	22051605.78723404	9063058.604651162	7004968.125	8618715042.0
5	RESCHEDULING AND REFINANCING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	507129581.5	0.0	0.0	0.0	434374377.1666667	461387062.3333333	0.0	2086216682.25	63809098.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14797503627.0
6	Rail transport	47896314.0	21281879.0	60080677.0	65859994.0	0.0	0.0	28637841.5	21776984.0	57598799.0	43195871.14285714	73630160.0	79205873.66666667	22432747.333333332	34843304.0	28372545.0	21473179.8	12326594.166666666	117284881.0	61912259.666666664	12913459.857142856	68277057.8	15239681.454545455	19196422.444444444	55889943.14285714	77199860.0	65766840.8	133340471.5	25481685.61904762	7874257.2	79475947.25	35156009.81818182	96998764.85714285	74497139.66666667	139449727.8	53918981.0	243218097.625	132775257.46153846	184666587.53333333	54597245.875	539992262.6666666	225137235.1	20498869588.0
7	Sectors not specified	32117836.615384616	67930395.18181819	21980822.181818184	1675774.6666666667	6433381.8125	47113651.307692304	1113865.8461538462	104210822.0	13323282.0	3149090.888888889	4007711.5714285714	4476470.105263158	2424464.1428571427	2610424.4	25535258.611111112	7365239.0	7528854.075	7843592.285714285	1871086.75	1453221.8235294118	4014957.695652174	4196269.535714285	450568.22033898305	264374.1153846154	660947.4561403509	621738.0	768862.7692307692	434712.93023255817	1700093.8954248365	1032294.8794326241	332277.1914893617	157573.38997214485	300860.53684210527	331252.7111111111	742470.6395147314	264282.37625	546941.102189781	333835.84803921566	475807.70625	216378.8431372549	268927.53122171946	8551354228.0
8	Social/ welfare services	0.0	0.0	0.0	22193818.0	0.0	35983690.6	4546300.333333333	5394468.0	214891.0	2877701.8181818184	4111999.5	3294468.3333333335	4785207.714285715	1593820.4444444445	1640227.0	1134076.4285714286	1176071.6842105263	3288308.409090909	1051566.347826087	2711430.722222222	708175.56	333355.4318181818	518477.3888888889	404761.75324675324	285674.304	767375.2346570397	412773.9895104895	6600272.925581396	1033065.0345679013	632752.5150501672	1184550.8567335242	1843317.1087962964	2547235.518272425	4515501.331325301	1653045.430962343	2222902.1379310344	1872779.216358839	908024.968641115	298473.05594405596	255320.0109090909	266393.51194539247	9206729363.0
9	Telecommunications	68374012.0	90237625.5	33166434.0	50634088.5	66003998.0	105136671.5	0.0	102835702.8	114292670.125	37428963.333333336	19991148.5	43165994.6	20376447.666666668	24040779.14285714	27536105.75	53507306.6	39835519.166666664	32273954.222222224	84940534.25	40246491.625	24070103.3	24828129.875	26766929.333333332	52223516.631578945	27012920.0	32371772.3	31605225.230769232	34546345.15384615	6830619.529411765	17582499.263157893	1056988.65625	136496.25925925927	119073.2	198757.0	60869.5	20964.333333333332	48664.4	236725.54545454544	86064.33333333333	179095.55555555556	2760286.0	8625392978.0
