,target,source,coalesced_purpose_name,weight
1,Australia,United States,industrial development,8970500.0
5,Brazil,Austria,industrial development,5167098.0
6,Brazil,Belgium,industrial development,1152172.0
8,Brazil,Canada,industrial development,29748658.0
13,Brazil,Germany,industrial development,82355164.0
16,Brazil,Ireland,industrial development,77475.0
17,Brazil,Italy,industrial development,780657.0
20,Brazil,Japan,industrial development,301942282.0
23,Brazil,Korea,industrial development,123207.0
24,Brazil,Norway,industrial development,80831.0
25,Brazil,Portugal,industrial development,50019.0
28,Brazil,Spain,industrial development,1110417.0
30,Brazil,Switzerland,industrial development,1034972.0
31,Brazil,United Kingdom,industrial development,39174808.0
35,Brazil,United States,industrial development,1785108528.0
39,Canada,United States,industrial development,1961661.0
40,Chile,Belgium,industrial development,522868.0
41,Chile,Canada,industrial development,18676468.0
43,Chile,France,industrial development,524894.0
46,Chile,Germany,industrial development,12253925.0
48,Chile,Italy,industrial development,569118.0
49,Chile,Japan,industrial development,5379848.0
52,Chile,Norway,industrial development,392917.0
54,Chile,Spain,industrial development,2505456.0
55,Chile,Sweden,industrial development,1084383.0
56,Chile,Switzerland,industrial development,1984348.0
59,Chile,United States,industrial development,675643062.0
63,Colombia,Belgium,industrial development,437122.0
65,Colombia,Canada,industrial development,23245209.0
66,Colombia,Denmark,industrial development,200450.0
68,Colombia,France,industrial development,11935741.0
71,Colombia,Germany,industrial development,53036463.0
75,Colombia,Italy,industrial development,8956908.0
78,Colombia,Japan,industrial development,161290.0
80,Colombia,Korea,industrial development,344229.0
82,Colombia,Netherlands,industrial development,2025344.0
84,Colombia,Spain,industrial development,3329991.0
85,Colombia,Switzerland,industrial development,743149.0
86,Colombia,United Kingdom,industrial development,1214104.0
89,Colombia,United States,industrial development,789030171.0
92,Cyprus,Austria,industrial development,3697861.0
95,Cyprus,France,industrial development,10278526.0
99,Czech Republic,Canada,industrial development,1238974.0
101,Czech Republic,Finland,industrial development,330061.0
102,Czech Republic,France,industrial development,324106.0
106,Czech Republic,Japan,industrial development,90879943.0
108,Czech Republic,Spain,industrial development,5896.0
109,Czech Republic,Sweden,industrial development,102544.0
110,Czech Republic,United Kingdom,industrial development,357921.0
113,Czech Republic,United States,industrial development,74391574.0
117,Estonia,Canada,industrial development,33293.0
118,Estonia,Czech Republic,industrial development,43746.0
119,Estonia,Finland,industrial development,14402937.0
123,Estonia,Germany,industrial development,1104.0
124,Estonia,Norway,industrial development,25546.0
125,Estonia,Spain,industrial development,2890.0
127,Estonia,Sweden,industrial development,615725.0
131,Estonia,United States,industrial development,37708473.0
135,Greece,United States,industrial development,7939384.0
139,Hungary,Canada,industrial development,709294.0
141,Hungary,Finland,industrial development,952711.0
142,Hungary,France,industrial development,106081.0
145,Hungary,Italy,industrial development,491160.0
147,Hungary,United States,industrial development,597708744.0
151,India,Australia,industrial development,24434534.0
154,India,Austria,industrial development,7202447.0
157,India,Belgium,industrial development,223779.0
161,India,Canada,industrial development,54685827.0
165,India,Czech Republic,industrial development,844507.0
166,India,Denmark,industrial development,160372258.0
167,India,Finland,industrial development,31746338.0
169,India,France,industrial development,736412685.0
173,India,Germany,industrial development,1768993054.0
177,India,Italy,industrial development,254284699.0
179,India,Japan,industrial development,2540561929.0
183,India,Kuwait,industrial development,131175647.0
186,India,Netherlands,industrial development,50767936.0
191,India,Norway,industrial development,160646315.0
195,India,Spain,industrial development,1386496.0
197,India,Sweden,industrial development,12572753.0
200,India,Switzerland,industrial development,76369785.0
203,India,United Kingdom,industrial development,141881911.0
208,India,United States,industrial development,1295117393.0
213,Ireland,United States,industrial development,52303341.0
217,Korea,France,industrial development,28328996.0
219,Korea,Germany,industrial development,75072695.0
221,Korea,Japan,industrial development,508053866.0
224,Korea,United States,industrial development,866792664.0
227,Kuwait,United States,industrial development,278059881.0
229,Latvia,Czech Republic,industrial development,165703.0
230,Latvia,France,industrial development,280691.0
233,Latvia,Sweden,industrial development,726843.0
236,Latvia,United States,industrial development,28634509.0
238,Lithuania,Czech Republic,industrial development,165703.0
239,Lithuania,France,industrial development,876296.0
242,Lithuania,Liechtenstein,industrial development,55926.0
244,Lithuania,Spain,industrial development,2472.0
246,Lithuania,Sweden,industrial development,104441.0
