,target,source,coalesced_purpose_name,weight
7,Brazil,Belgium,rescheduling and refinancing,95301312.0
12,Brazil,France,rescheduling and refinancing,39176633.0
15,Brazil,Germany,rescheduling and refinancing,383805718.0
22,Brazil,Japan,rescheduling and refinancing,116009608.0
33,Brazil,United Kingdom,rescheduling and refinancing,6537274.0
45,Chile,France,rescheduling and refinancing,15930523.0
47,Chile,Germany,rescheduling and refinancing,192130578.0
57,Chile,United Kingdom,rescheduling and refinancing,4483183.0
156,India,Austria,rescheduling and refinancing,12981849.0
159,India,Belgium,rescheduling and refinancing,19171564.0
164,India,Canada,rescheduling and refinancing,43475461.0
172,India,France,rescheduling and refinancing,166467553.0
176,India,Germany,rescheduling and refinancing,663229570.0
178,India,Italy,rescheduling and refinancing,74692017.0
182,India,Japan,rescheduling and refinancing,856661065.0
189,India,Netherlands,rescheduling and refinancing,47946095.0
206,India,United Kingdom,rescheduling and refinancing,215490015.0
211,India,United States,rescheduling and refinancing,260453117.0
256,Poland,Belgium,rescheduling and refinancing,797173879.0
264,Poland,Germany,rescheduling and refinancing,13905028436.0
323,Slovenia,Germany,rescheduling and refinancing,38210381.0
381,Thailand,Germany,rescheduling and refinancing,589880.0
