,target,source,coalesced_purpose_name,weight
0,Australia,United States,air transport,2414954172.0
3,Austria,United States,air transport,769908525.0
4,Belgium,United States,air transport,184346233.0
19,Brazil,Japan,air transport,100165.0
27,Brazil,Spain,air transport,140677.0
34,Brazil,United States,air transport,3456194517.0
38,Canada,United States,air transport,4066635837.0
42,Chile,France,air transport,859097.0
51,Chile,Korea,air transport,28586.0
53,Chile,Spain,air transport,20706.0
58,Chile,United States,air transport,777158312.0
67,Colombia,France,air transport,19509180.0
70,Colombia,Germany,air transport,15829434.0
74,Colombia,Italy,air transport,12425310.0
77,Colombia,Japan,air transport,23.0
83,Colombia,Spain,air transport,470750.0
88,Colombia,United States,air transport,221288646.0
94,Cyprus,France,air transport,84362.0
98,Czech Republic,Canada,air transport,76296.0
112,Czech Republic,United States,air transport,519148254.0
116,Denmark,United States,air transport,83221323.0
121,Estonia,France,air transport,1049001.0
126,Estonia,Sweden,air transport,1681389.0
132,Finland,United States,air transport,180621823.0
133,France,United States,air transport,237532627.0
134,Greece,United States,air transport,402975319.0
146,Hungary,United States,air transport,183317716.0
150,Iceland,United States,air transport,18060045.0
160,India,Canada,air transport,14224407.0
168,India,France,air transport,93048552.0
185,India,Netherlands,air transport,704628.0
190,India,Norway,air transport,2316419.0
194,India,Spain,air transport,6797785.0
202,India,United Kingdom,air transport,226060281.0
207,India,United States,air transport,2273859378.0
212,Ireland,United States,air transport,793462113.0
215,Italy,United States,air transport,2356747779.0
216,Japan,United States,air transport,2080977585.0
223,Korea,United States,air transport,5260158081.0
232,Latvia,Sweden,air transport,1086851.0
245,Lithuania,Sweden,air transport,1093514.0
249,Lithuania,United States,air transport,24831025.0
252,Luxembourg,United States,air transport,555039832.0
253,New Zealand,United States,air transport,22137111.0
255,Norway,United States,air transport,343290701.0
257,Poland,Canada,air transport,1476778.0
261,Poland,France,air transport,10316.0
268,Poland,Sweden,air transport,250129.0
271,Poland,United Kingdom,air transport,2702617.0
274,Poland,United States,air transport,815085967.0
278,Portugal,United States,air transport,130233430.0
284,Romania,Canada,air transport,1581431.0
287,Romania,France,air transport,77926.0
295,Romania,United States,air transport,268490073.0
301,Saudi Arabia,United States,air transport,3423114025.0
314,Slovak Republic,Netherlands,air transport,31781.0
330,South Africa,France,air transport,2331311.0
337,South Africa,Norway,air transport,13527.0
346,South Africa,United States,air transport,840454769.0
350,Spain,United States,air transport,86329744.0
357,Taiwan,United States,air transport,1631451348.0
359,Thailand,Australia,air transport,75135.0
364,Thailand,Belgium,air transport,125252.0
367,Thailand,Canada,air transport,443224.0
374,Thailand,France,air transport,638493.0
383,Thailand,Japan,air transport,2648319527.0
387,Thailand,Korea,air transport,52335.0
393,Thailand,Norway,air transport,60502.0
401,Thailand,United States,air transport,1378790278.0
407,United Arab Emirates,United States,air transport,522553.0
408,United Kingdom,United States,air transport,957343964.0
