recipient	United States	Japan	Germany	United Kingdom	France	Netherlands	Canada	Sweden	Norway	Italy	Denmark	Switzerland	Australia	Belgium	Spain	Saudi Arabia	Kuwait	Korea	Austria	Finland
Saudi Arabia	46736984.41052631	2096972.0617977527	335634.61904761905	111858.33333333333	280165.9423076923	45504.2	8083.0	0.0	17761.363636363636	39671.57142857143	0.0	0.0	7575.0	9103.0	4738.0	0.0	0.0	41980.75	143019.73333333334	38710.0
Chile	11049943.203592815	803936.0617142858	1399050.0286885246	161066.78260869565	632169.8343283582	847524.3311258279	284729.032	730310.4032921811	360353.8280254777	560456.9570957095	2227143.2666666666	505538.7643678161	105614.79816513762	109847.77981651376	157672.47470238095	0.0	0.0	807387.3148148148	97375.57575757576	120816.38461538461
Kuwait	965927767.875	628164.0	488297.4166666667	0.0	261247.84523809524	30227.0	1568.0	5614187.0	0.0	163955.0	0.0	0.0	0.0	0.0	20232.0	0.0	0.0	0.0	41396.666666666664	0.0
South Africa	3999269.7185628745	1829412.2441679626	920138.21299639	2310315.4652605457	2336243.07002457	886631.8417721519	552387.5089552238	1006069.1228693182	496797.7694524496	451125.76371308014	1146964.8579387187	907032.8571428572	612959.3180661577	269868.4845360825	119604.79754601227	0.0	0.0	328145.4032258064	115618.35177865613	747354.4285714285
Poland	12177413.868932039	2652010.0681818184	73011635.69491525	1246130.7202380951	6170561.067692308	156807.3076923077	15029725.206896551	350097.6579925651	100191.6	741592.4805194805	0.0	196359.4375	3046.0	33347109.666666668	1161439.4868421052	0.0	0.0	0.0	754189.25	1112112.0909090908
Korea	41620753.71268657	92407466.34042554	8329250.0	324355.6	655716.4845814978	61474.0	214744.88888888888	0.0	0.0	665850.9090909091	0.0	41535.666666666664	205394.7027027027	13152.0	48995.78571428572	134511154.0	0.0	0.0	7966161.785714285	0.0
Colombia	13238576.47987616	1417321.9258517034	991922.7574059247	708670.125	3421806.7250509164	1254342.97265625	787660.0457746478	899978.1598837209	591027.5798816568	628568.4661190965	449445.28571428574	414076.4346590909	111219.11578947368	179524.76788830716	262180.36692061933	0.0	0.0	352520.78189300414	187328.21296296295	266985.7078651685
Brazil	10103162.669649515	5405729.405194805	1599691.4358267717	1262500.003539823	2850154.289541919	572634.7828947369	590085.6981132076	175353.28289473685	1905423.0676156583	1005375.9051254089	1061526.6666666667	452224.09004739334	111788.21649484536	238175.3187919463	145729.78841662774	191647004.0	0.0	3051826.119402985	100629.11560693642	185689.654676259
Thailand	4555144.888499299	14353054.162413932	2222291.1697127935	2000954.3824884794	1397684.3182423436	634115.7219512195	1799163.559139785	840423.0182648402	435714.16613418533	256496.8074074074	3059309.1625	593484.4854771785	1123426.1758454107	238993.7264573991	49804.17605633803	78240158.0	52177593.8	139422.85243741766	870100.094117647	921137.6496350365
India	4720112.169902912	27982846.58739255	5882462.686255305	9633450.733558994	4498993.880434782	6754800.567279767	3044463.1830282863	3991445.8279457767	1370729.5788130185	1022411.46446281	5260810.897637796	2395180.9934895835	990994.8153380423	498651.7388987567	183662.52432432433	126608557.0	99239712.22222222	4993922.75	573927.5335689046	394195.8228941685
